dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,18,sfs,macro_f1,0.9228521332554063,0.8636363636363636,0.8482758620689655,5,"f24,f31,f5,f1,f11",189,0.9012110999901779
ionosphere,knn5,18,sbs,accuracy,0.9204545454545454,0.7727272727272727,0.7206349206349206,31,"f1,f2,f3,f4,f5,f6,f8,f9,f10,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f34",131,0.955068500014022
ionosphere,knn5,18,sbs,macro_f1,0.8971361776738749,0.7727272727272727,0.7206349206349206,31,"f1,f2,f3,f4,f5,f6,f8,f9,f10,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",131,1.1148410000023432
ionosphere,knn5,18,random,accuracy,0.9318181818181818,0.8863636363636364,0.8735632183908046,2,"f5,f10",1156,6.269169999985024
ionosphere,knn5,18,random,macro_f1,0.9228521332554063,0.8863636363636364,0.8735632183908046,2,"f5,f10",1156,7.58723479998298
ionosphere,knn5,19,baseline,none,,0.8181818181818182,0.7765079365079366,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.013511900033336133
ionosphere,knn5,19,sfs,accuracy,0.9659090909090909,0.8522727272727273,0.8393032729315915,3,"f22,f5,f27",130,0.5993856000131927
ionosphere,knn5,19,sfs,macro_f1,0.9617557583659279,0.8522727272727273,0.8393032729315915,3,"f22,f5,f27",130,0.7703261999995448
ionosphere,knn5,19,sbs,accuracy,0.8863636363636364,0.8181818181818182,0.7765079365079366,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",35,0.3011592000257224
ionosphere,knn5,19,sbs,macro_f1,0.8664238008500303,0.8181818181818182,0.7765079365079366,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",35,0.343611599993892
ionosphere,knn5,19,random,accuracy,0.9431818181818182,0.8409090909090909,0.8089330024813896,8,"f2,f4,f6,f7,f10,f12,f13,f21",1156,6.394976500014309
ionosphere,knn5,19,random,macro_f1,0.9362595972765464,0.8409090909090909,0.8089330024813896,8,"f2,f4,f6,f7,f10,f12,f13,f21",1156,8.365808300033677
ionosphere,knn5,20,baseline,none,,0.8295454545454546,0.7929411764705883,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.011787399998866022
ionosphere,knn5,20,sfs,accuracy,0.9204545454545454,0.8636363636363636,0.8505942275042444,3,"f29,f13,f27",130,0.47909610002534464
ionosphere,knn5,20,sfs,macro_f1,0.910763436187165,0.8636363636363636,0.8505942275042444,3,"f29,f13,f27",130,0.740445000003092
ionosphere,knn5,20,sbs,accuracy,0.9204545454545454,0.8295454545454546,0.7975149562816383,32,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.8594558000331745
ionosphere,knn5,20,sbs,macro_f1,0.9074380165289255,0.8295454545454546,0.7975149562816383,32,"f1,f2,f4,f5,f6,f7,f8,f9,f10,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.8652466000057757
