dataset,classifier,method,selection_metric,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,n_selected_mean,n_selected_std,n_selected_min,n_selected_max,time_mean_sec,time_std_sec,subsets_mean
ionosphere,svm_rbf,sbs,accuracy,0.9386363636363637,0.0205890734578689,0.8977272727272727,0.9659090909090909,0.9319529904104908,0.023160988229821124,0.8852672750977836,0.9629161399072903,33.266666666666666,0.8276819867946669,30,34,0.23706419000712534,0.1000227066862556,58.96666666666667
ionosphere,svm_rbf,sbs,macro_f1,0.9390151515151516,0.020992434188320017,0.8977272727272727,0.9659090909090909,0.9323769258795757,0.023618338684195585,0.8852672750977836,0.9629161399072903,33.233333333333334,0.8172001541568759,30,34,0.3185382933317063,0.13844000291765896,60.06666666666667
ionosphere,svm_rbf,sfs,accuracy,0.8954545454545454,0.034467615654779765,0.8068181818181818,0.9431818181818182,0.8832358354608719,0.040396691433452286,0.7794486215538847,0.9372772630078403,3.6666666666666665,1.2954385047312087,2,7,0.5461550233284167,0.14769782927812275,149.3
ionosphere,svm_rbf,sfs,macro_f1,0.8920454545454546,0.037836313699523706,0.8068181818181818,0.9431818181818182,0.8791709265970565,0.04377898175959255,0.7794486215538847,0.9372772630078403,3.7333333333333334,1.2015315896469556,2,6,0.7688492499990389,0.17185072536201412,151.4
parkinsons,knn5,baseline,none,0.9,0.036487557138883936,0.8163265306122449,0.9591836734693877,0.8581315937649039,0.05423949071960667,0.7277777777777779,0.9448198198198199,22.0,0.0,22,22,0.008732376660918816,0.0011784769005122773,0.0
parkinsons,knn5,random,accuracy,0.8836734693877552,0.034379918167620926,0.8163265306122449,0.9387755102040817,0.837783313336637,0.0488379935306269,0.7443478260869565,0.9233176838810642,9.2,4.513581038721189,2,19,2.1043971899993874,0.08493210866809733,484.0
parkinsons,knn5,random,macro_f1,0.8891156462585034,0.03582553632041938,0.8163265306122449,0.9591836734693877,0.8483400888288606,0.04895634816392569,0.7443478260869565,0.9413875598086124,9.033333333333333,4.552250927370671,3,19,2.698400853331744,0.09180328748212868,484.0
parkinsons,knn5,sbs,accuracy,0.8979591836734694,0.02935489600930923,0.8367346938775511,0.9591836734693877,0.8545201154754295,0.04641582434234089,0.7277777777777779,0.9448198198198199,20.233333333333334,1.0400044208570938,18,22,0.42041732666354314,0.14857876515164403,58.9
parkinsons,knn5,sbs,macro_f1,0.8959183673469387,0.030008113337973128,0.8367346938775511,0.9591836734693877,0.851685183497477,0.04685938737304404,0.7277777777777779,0.9413875598086124,20.066666666666666,1.112106833535071,17,22,0.5364031766715925,0.1804005824157434,62.1
parkinsons,knn5,sfs,accuracy,0.8687074829931973,0.04409210047649124,0.7346938775510204,0.9387755102040817,0.8125576402150692,0.06886368432906788,0.6085693536673928,0.9147826086956521,2.8,0.9247553264475439,1,5,0.2615789899971181,0.05870052520463072,77.86666666666666
parkinsons,knn5,sfs,macro_f1,0.8612244897959183,0.0641792288536484,0.5918367346938775,0.9183673469387755,0.8011797178796383,0.10345556178389545,0.3717948717948718,0.8896396396396397,3.066666666666667,0.9444331755018487,1,5,0.38343736666526335,0.08445696718586546,82.8
parkinsons,svm_rbf,baseline,none,0.8761904761904762,0.028828308045982784,0.7959183673469388,0.9183673469387755,0.7905227074197979,0.06532454110189224,0.5833333333333333,0.8743589743589744,22.0,0.0,22,22,0.0049875499952274065,0.0008278132607377709,0.0
parkinsons,svm_rbf,random,accuracy,0.8612244897959184,0.03530732243021427,0.7959183673469388,0.9387755102040817,0.77633333267194,0.06563672387794943,0.6457831325301204,0.9090909090909091,7.633333333333334,3.9695681458274295,2,20,1.4198969300021418,0.12542399208333008,484.0
parkinsons,svm_rbf,random,macro_f1,0.8530612244897959,0.039164316119356654,0.7551020408163265,0.9183673469387755,0.76921569197212,0.06853851040746643,0.5916666666666667,0.8743589743589744,6.766666666666667,3.5977323637146132,3,20,2.016075060002428,0.15037655690464583,484.0
parkinsons,svm_rbf,sbs,accuracy,0.8795918367346939,0.029525636354091694,0.7959183673469388,0.9183673469387755,0.7975000046311003,0.06651944144024366,0.5833333333333333,0.8743589743589744,21.566666666666666,0.5040069329937314,21,22,0.09965753333138612,0.03888282426966386,32.1
parkinsons,svm_rbf,sbs,macro_f1,0.8789115646258503,0.03167670009230044,0.7959183673469388,0.9387755102040817,0.7970872229683186,0.06879185869321017,0.5833333333333333,0.9090909090909091,21.466666666666665,0.6288102248298566,20,22,0.1522891466661046,0.05534906226261664,34.13333333333333
parkinsons,svm_rbf,sfs,accuracy,0.8523809523809525,0.046004948737852866,0.7551020408163265,0.9387755102040817,0.7579089240526541,0.0955594668909536,0.5,0.9090909090909091,2.3333333333333335,0.7580980435789035,1,4,0.19165631666934738,0.048335532813969274,69.16666666666667
parkinsons,svm_rbf,sfs,macro_f1,0.8612244897959184,0.03321127364673355,0.7959183673469388,0.9387755102040817,0.7828427709056516,0.05992101423116582,0.6457831325301204,0.9090909090909091,2.6333333333333333,0.9278574999588488,1,5,0.3036993733335597,0.06050194933421593,74.73333333333333
