dataset,classifier,split,random_state,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,5,,sbs,macro_f1,0.8362282878411911,0.7840909090909091,0.7242289295728187,32,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33",100,0.8989780996926129
ionosphere,knn5,5,,random,accuracy,0.9204545454545454,0.8181818181818182,0.7942723553477499,2,"f6,f16",1156,6.1441726996563375
ionosphere,knn5,5,,random,macro_f1,0.9074380165289255,0.8181818181818182,0.7942723553477499,2,"f6,f16",1156,7.116406899876893
ionosphere,knn5,6,48.0,baseline,none,,0.7954545454545454,0.7485714285714286,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009963199961930513
ionosphere,knn5,6,,sfs,accuracy,0.9772727272727273,0.8181818181818182,0.781637717121588,4,"f14,f13,f9,f32",160,0.4983918000943959
ionosphere,knn5,6,,sfs,macro_f1,0.8902286902286902,0.7840909090909091,0.7577864696508765,2,"f30,f7",99,0.38329150015488267
ionosphere,knn5,6,,sbs,accuracy,0.8636363636363636,0.7954545454545454,0.7485714285714286,33,"f1,f2,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.4515440999530256
ionosphere,knn5,6,,sbs,macro_f1,0.8397085610200364,0.7954545454545454,0.7485714285714286,33,"f1,f2,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.5262092999182642
ionosphere,knn5,6,,random,accuracy,0.9545454545454546,0.8181818181818182,0.7904761904761906,3,"f7,f11,f16",1156,5.716282700188458
ionosphere,knn5,6,,random,macro_f1,0.9494252873563218,0.8181818181818182,0.7904761904761906,3,"f7,f11,f16",1156,7.052239999640733
ionosphere,knn5,7,49.0,baseline,none,,0.7727272727272727,0.7135416666666667,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009339599870145321
ionosphere,knn5,7,,sfs,accuracy,0.9545454545454546,0.8295454545454546,0.8118317890235209,2,"f5,f28",99,0.2763974000699818
ionosphere,knn5,7,,sfs,macro_f1,0.9372772630078403,0.8977272727272727,0.8852672750977836,3,"f8,f7,f5",130,0.5026893001049757
ionosphere,knn5,7,,sbs,accuracy,0.8636363636363636,0.7727272727272727,0.7135416666666667,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.44530029967427254
ionosphere,knn5,7,,sbs,macro_f1,0.8362282878411911,0.7727272727272727,0.7135416666666667,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.5192261002957821
ionosphere,knn5,7,,random,accuracy,0.9204545454545454,0.9090909090909091,0.8988505747126436,2,"f7,f8",1156,5.9052261002361774
ionosphere,knn5,7,,random,macro_f1,0.910763436187165,0.9090909090909091,0.8988505747126436,2,"f7,f8",1156,7.905277300160378
ionosphere,knn5,8,50.0,baseline,none,,0.8636363636363636,0.8397085610200364,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010948900133371353
ionosphere,knn5,8,,sfs,accuracy,0.8977272727272727,0.8409090909090909,0.8229885057471265,3,"f31,f23,f32",130,0.4636411997489631
ionosphere,knn5,8,,sfs,macro_f1,0.8785089737689831,0.8409090909090909,0.8229885057471265,3,"f31,f23,f32",130,0.6694281999953091
ionosphere,knn5,8,,sbs,accuracy,0.8636363636363636,0.8409090909090909,0.8089330024813896,32,"f2,f3,f4,f5,f6,f7,f8,f9,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7293398999609053
ionosphere,knn5,8,,sbs,macro_f1,0.8323809523809524,0.8409090909090909,0.8089330024813896,32,"f2,f3,f4,f5,f6,f7,f8,f9,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7910598996095359
ionosphere,knn5,8,,random,accuracy,0.9090909090909091,0.8636363636363636,0.8428571428571429,6,"f9,f14,f15,f16,f17,f29",1156,5.996293699834496
ionosphere,knn5,8,,random,macro_f1,0.8952380952380952,0.8636363636363636,0.8428571428571429,6,"f9,f14,f15,f16,f17,f29",1156,7.681104100309312
ionosphere,knn5,9,51.0,baseline,none,,0.8636363636363636,0.8397085610200364,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010307800024747849
ionosphere,knn5,9,,sfs,accuracy,0.9204545454545454,0.8977272727272727,0.8902286902286902,2,"f34,f5",99,0.3174606002867222
ionosphere,knn5,9,,sfs,macro_f1,0.9121881682109765,0.8977272727272727,0.8902286902286902,2,"f34,f5",99,0.44250489957630634
ionosphere,knn5,9,,sbs,accuracy,0.8295454545454546,0.875,0.8545454545454545,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.4658599002286792
ionosphere,knn5,9,,sbs,macro_f1,0.7878836573999679,0.875,0.8545454545454545,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.6075714998878539
ionosphere,knn5,9,,random,accuracy,0.9090909090909091,0.8181818181818182,0.7977011494252872,2,"f6,f29",1156,6.227077899966389
ionosphere,knn5,9,,random,macro_f1,0.8988505747126436,0.9090909090909091,0.9003961516694963,2,"f5,f24",1156,7.5482761999592185
ionosphere,knn5,10,52.0,baseline,none,,0.8409090909090909,0.8129933211900424,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009210099931806326
ionosphere,knn5,10,,sfs,accuracy,0.9545454545454546,0.8863636363636364,0.8735632183908046,3,"f6,f15,f1",130,0.44972990034148097
ionosphere,knn5,10,,sfs,macro_f1,0.9747126436781609,0.8977272727272727,0.8852672750977836,5,"f8,f12,f7,f1,f15",189,0.8942301999777555
ionosphere,knn5,10,,sbs,accuracy,0.8863636363636364,0.8181818181818182,0.781637717121588,33,"f1,f2,f3,f4,f5,f6,f7,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.49760250002145767
ionosphere,knn5,10,,sbs,macro_f1,0.8635235732009925,0.8181818181818182,0.781637717121588,33,"f1,f2,f3,f4,f5,f6,f7,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",68,0.5274347998201847
ionosphere,knn5,10,,random,accuracy,0.9318181818181818,0.9318181818181818,0.9241379310344828,3,"f3,f5,f6",1156,5.918762699700892
ionosphere,knn5,10,,random,macro_f1,0.9228521332554063,0.9318181818181818,0.9241379310344828,3,"f3,f5,f6",1156,7.42319540027529
ionosphere,knn5,11,53.0,baseline,none,,0.8977272727272727,0.8832375055285272,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010375899728387594
ionosphere,knn5,11,,sfs,accuracy,0.9545454545454546,0.8636363636363636,0.8482758620689655,4,"f13,f5,f8,f25",160,0.4988088998943567
ionosphere,knn5,11,,sfs,macro_f1,0.9494252873563218,0.8636363636363636,0.8482758620689655,4,"f13,f5,f8,f25",160,0.6884592003189027
ionosphere,knn5,11,,sbs,accuracy,0.875,0.875,0.851510967939868,30,"f2,f3,f4,f5,f8,f9,f10,f11,f12,f13,f14,f15,f16,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",161,1.2057014000602067
